index,rsrp,area
1,-114.3,A1
1,-109.11,A1
1,-115.63,A1
1,-111.63,A1
1,-109.79,A1
1,-123.26,A1
1,-115.85,A1
1,-110.35,A1
1,-113.06,A1
2,-111.77,A2
2,-118.91,A2
2,-120.66,A2
2,-117.8,A2
2,-116.69,A2
2,-116.28,A2
2,-116.01,A2
2,-115.21,A2
2,-121.59,A2
2,-121.59,A2
2,-121.59,A2
2,-121.59,A2
2,-121.59,A2
2,-121.59,A2
3,-102.3,A3
3,-102.27,A3
3,-103.44,A3
3,-104.45,A3
3,-104.52,A3
3,-103.15,A3
3,-102.4,A3
3,-103.5,A3
3,-104.28,A3
3,-104.59,A3
4,-114.66,A4
4,-114.52,A4
4,-114.24,A4
4,-113.84,A4
4,-113.88,A4
4,-114.12,A4
4,-114.09,A4
4,-113.93,A4
4,-113.55,A4
4,-113.31,A4
4,-113.23,A4
5,-104.76,A5
5,-104.67,A5
5,-104.66,A5
5,-104.92,A5
5,-105.7,A5
5,-106.48,A5
