index,rsrq,area
1,-25.53,A1
1,-22.82,A1
1,-20.86,A1
1,-26.6,A1
1,-24.88,A1
1,-24.16,A1
1,-29.65,A1
1,-26.81,A1
1,-24.46,A1
1,-22.79,A1
1,-21.63,A1
1,-23.91,A1
2,-23.45,A2
2,-23.96,A2
2,-23.96,A2
2,-23.96,A2
2,-23.96,A2
2,-23.96,A2
2,-23.96,A2
3,-16.13,A3
3,-16.88,A3
3,-17.06,A3
3,-16.92,A3
3,-16.83,A3
3,-16.58,A3
3,-16.55,A3
3,-16.57,A3
3,-16.81,A3
3,-17.25,A3
3,-17.56,A3
3,-17.66,A3
4,-17.52,A4
4,-17.13,A4
4,-16.91,A4
4,-16.59,A4
4,-16.47,A4
4,-16.59,A4
4,-16.63,A4
4,-16.84,A4
4,-17.02,A4
4,-17.07,A4
4,-17.14,A4
5,-18.94,A5
5,-18.98,A5
5,-19.49,A5
5,-19.16,A5
5,-18.95,A5
5,-18.95,A5
5,-19.13,A5
5,-19.74,A5
5,-19.77,A5
5,-19.56,A5
5,-20.07,A5
5,-20.34,A5
5,-20.09,A5
5,-19.02,A5
5,-18.8,A5
