value,cdf
-121.65,0.021739130434782608
-121.65,0.043478260869565216
-110.03,0.06521739130434782
-110.03,0.08695652173913043
-109.554,0.10869565217391304
-108.0,0.13043478260869565
-106.77,0.15217391304347827
-104.9,0.17391304347826086
-104.66,0.1956521739130435
-101.91,0.21739130434782608
-100.96,0.2391304347826087
-99.24,0.2608695652173913
-98.22,0.2826086956521739
-97.8,0.30434782608695654
-96.34,0.32608695652173914
-95.88,0.34782608695652173
-94.84,0.3695652173913043
-94.7,0.391304347826087
-94.2,0.41304347826086957
-93.73,0.43478260869565216
-93.58,0.45652173913043476
-93.51,0.4782608695652174
-92.97,0.5
-92.88,0.5217391304347826
-92.69,0.5434782608695652
-92.55,0.5652173913043478
-92.32,0.5869565217391305
-92.1,0.6086956521739131
-90.84,0.6304347826086957
-90.63,0.6521739130434783
-90.29,0.6739130434782609
-88.88,0.6956521739130435
-88.496,0.717391304347826
-88.441,0.7391304347826086
-88.202,0.7608695652173914
-87.8,0.782608695652174
-87.61,0.8043478260869565
-86.6,0.8260869565217391
-85.674,0.8478260869565217
-85.52,0.8695652173913043
-84.95,0.8913043478260869
-84.55,0.9130434782608695
-80.747,0.9347826086956522
-78.97,0.9565217391304348
-77.59,0.9782608695652174
-70.84,1.0
