value,value_log,value_divide_100,value_divide_1000,cdf
0.788,-0.10347372364286589,0.00788,0.000788,0.01
1.006,0.002597895908616426,0.01006,0.001006,0.02
1.078,0.03261869246181119,0.01078,0.001078,0.03
1.191,0.07591175591870702,0.01191,0.001191,0.04
1.948,0.2895889954909774,0.01948,0.001948,0.05
2.019,0.305136330431419,0.02019,0.002019,0.06
2.086,0.3193142473051819,0.02086,0.002086,0.07
2.219,0.34615732201686694,0.02219,0.002219,0.08
2.401,0.38039212107174386,0.02401,0.002401,0.09
2.402,0.38057303720791325,0.02402,0.002402,0.1
2.481,0.3946267966583609,0.02481,0.002481,0.11
2.561,0.40840955647394767,0.02561,0.002561,0.12
3.134,0.4960989678159495,0.03134,0.003134,0.13
4.666,0.6689447463521863,0.04666,0.004666,0.14
4.754,0.6770591726876017,0.04754,0.004754,0.15
4.949,0.6945174434337544,0.04949,0.004949,0.16
5.459,0.7371130841393526,0.05459,0.005459,0.17
7.879,0.8964710976406586,0.07879,0.007879,0.18
9.018,0.9551102370330008,0.09018,0.009018,0.19
10.334,1.0142684518390683,0.10334,0.010334,0.2
12.404,1.0935617507536313,0.12404,0.012404,0.21
12.656,1.1022964626846852,0.12656,0.012656,0.22
13.063,1.1160429335708784,0.13063,0.013063,0.23
13.953,1.1446675963683992,0.13953,0.013953,0.24
14.325,1.1560946320850662,0.14325,0.014325,0.25
14.848,1.1716679603252937,0.14848,0.014848,0.26
18.477,1.2666314587650853,0.18477,0.018477,0.27
20.155,1.3043828018725845,0.20155,0.020155,0.28
20.431,1.310289623674468,0.20431,0.020431,0.29
21.617,1.3347954246260227,0.21617,0.021617,0.3
22.344,1.3491609246577985,0.22344,0.022344,0.31
23.581,1.372562219936511,0.23581,0.023581,0.32
27.76,1.4434194616336187,0.2776,0.02776,0.33
29.973,1.4767302109550589,0.29973,0.029973,0.34
30.677,1.4868128869826867,0.30677,0.030677,0.35
31.579,1.4993983732018858,0.31579,0.031579,0.36
33.729,1.5280034696324014,0.33729,0.033729,0.37
36.239,1.5591762031217569,0.36239,0.036239,0.38
36.27,1.5595475553520497,0.3627,0.03627,0.39
39.456,1.5961130559023695,0.39456,0.039456,0.4
40.678,1.6093595942417402,0.40678,0.040678,0.41
41.612,1.619218589696338,0.41612,0.041612,0.42
42.053,1.6237969829014842,0.42053,0.042053,0.43
43.136,1.6348398696934676,0.43136,0.043136,0.44
44.717,1.6504726597299901,0.44717,0.044717,0.45
45.115,1.654320961795483,0.45115,0.045115,0.46
46.477,1.6672380851767437,0.46477,0.046477,0.47
46.863,1.6708300885467742,0.46863,0.046863,0.48
47.169,1.673656670511703,0.47169,0.047169,0.49
49.098,1.691063799889474,0.49098,0.049098,0.5
49.202,1.691982755797154,0.49202,0.049202,0.51
51.444,1.7113347316193128,0.51444,0.051444,0.52
51.999,1.7159949923428777,0.51999,0.051999,0.53
52.359,1.718991347091482,0.52359,0.052359,0.54
53.018,1.7244233398772508,0.53018,0.053018,0.55
56.781,1.754203037895682,0.56781,0.056781,0.56
57.939,1.7629709943981786,0.57939,0.057939,0.57
58.804,1.7694068681810924,0.58804,0.058804,0.58
59.838,1.7769770698530698,0.59838,0.059838,0.59
60.41,1.781108836346513,0.6041,0.06041,0.6
64.632,1.810447593316001,0.64632,0.064632,0.61
65.401,1.8155843890138958,0.65401,0.065401,0.62
69.279,1.8406016105542682,0.69279,0.069279,0.63
69.516,1.8420847747492535,0.69516,0.069516,0.64
74.289,1.8709245139692487,0.74289,0.074289,0.65
76.093,1.8813447049582117,0.76093,0.076093,0.66
76.217,1.882051851780343,0.76217,0.076217,0.67
77.797,1.8909628497096376,0.77797,0.077797,0.68
81.966,1.9136337408805546,0.81966,0.081966,0.69
83.364,1.9209785441071825,0.83364,0.083364,0.7
85.71,1.933031495295697,0.8571,0.08571,0.71
86.424,1.936634363207493,0.86424,0.086424,0.72
86.442,1.9367248049172514,0.86442,0.086442,0.73
86.804,1.9385397389825811,0.86804,0.086804,0.74
89.125,1.949999542859922,0.89125,0.089125,0.75
91.666,1.9622082811992454,0.91666,0.091666,0.76
93.255,1.9696721258464651,0.93255,0.093255,0.77
93.873,1.972540697972166,0.93873,0.093873,0.78
97.069,1.9870805555926616,0.97069,0.097069,0.79
97.258,1.9879253351573036,0.97258,0.097258,0.8
103.413,2.0145751365938387,1.03413,0.103413,0.81
107.183,2.030125909890426,1.07183,0.107183,0.82
110.75,2.044343734895107,1.1075,0.11075,0.83
114.252,2.0578638106535534,1.14252,0.114252,0.84
117.864,2.071381176145415,1.17864,0.117864,0.85
121.317,2.0839216619612446,1.21317,0.121317,0.86
124.158,2.093974707274144,1.24158,0.124158,0.87
128.193,2.1078643105653367,1.28193,0.128193,0.88
140.906,2.1489294861364043,1.40906,0.140906,0.89
142.129,2.1526827002542253,1.42129,0.142129,0.9
146.326,2.1653215007153443,1.46326,0.146326,0.91
153.294,2.185525156440675,1.53294,0.153294,0.92
175.441,2.2441310940833823,1.75441,0.175441,0.93
179.876,2.2549732217624006,1.79876,0.179876,0.94
207.206,2.3164023266743263,2.07206,0.207206,0.95
217.808,2.338073826873435,2.17808,0.217808,0.96
222.444,2.347220695993037,2.22444,0.222444,0.97
236.593,2.3740018910336262,2.36593,0.236593,0.98
247.199,2.3930467093507657,2.47199,0.247199,0.99
275.359,2.4398992757415017,2.75359,0.275359,1.0
