grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4616,90.0000,22.5440,23.4440,27.0440,31.5440,35.4000,46.7920,56.1120,60.1040,61.6120,62.8184,63.1200,46.7920,60.1040,31.5440,28.5600,13.3120,227.1818,195.0000,228.5000,230.0000,239.0000,242.0000
40.4617,90.0000,42.0560,42.3112,43.3320,44.9336,51.0500,53.6800,55.5980,57.5816,59.7428,61.6894,62.1760,53.6800,57.5816,44.9336,12.6480,3.9016,209.4167,194.3000,226.2500,230.0000,232.2500,239.0000
40.4618,90.0000,22.3840,23.4514,27.7212,32.2480,44.2540,52.0000,53.8860,56.5320,58.0036,59.3447,59.6800,52.0000,56.5320,32.2480,24.2840,4.5320,188.7500,31.8000,194.2500,230.0000,230.7500,241.1000
40.4619,90.0000,29.2880,30.2221,33.9584,38.7552,50.5840,52.8320,54.5760,56.6496,60.6544,65.0205,66.1120,52.8320,56.6496,38.7552,17.8944,3.8176,168.6154,3.0000,159.0000,227.0000,236.0000,238.4000
40.4620,90.0000,10.4350,14.1269,28.8944,47.3539,52.4920,53.7600,57.1140,57.5464,57.7012,57.8250,57.8560,53.7600,57.5464,47.3539,10.1925,3.7864,203.0000,154.2000,195.0000,236.0000,242.0000,242.6000
40.4621,90.0000,11.0110,11.0474,11.1930,11.3750,37.9168,48.4000,59.9480,61.0616,61.3388,61.5606,61.6160,48.4000,61.0616,11.3750,49.6866,12.6616,213.3333,181.5000,192.5000,216.5000,237.5000,242.0000
40.4622,90.0000,41.2000,41.5074,42.7372,44.2744,48.8860,55.2640,60.7280,63.6944,64.6832,65.4742,65.6720,55.2640,63.6944,44.2744,19.4200,8.4304,226.2500,199.8000,220.5000,237.0000,242.7500,244.1000
40.4623,90.0000,51.7680,51.8367,52.1116,52.4552,53.4860,55.2040,56.9220,57.9528,58.2964,58.5713,58.6400,55.2040,57.9528,52.4552,5.4976,2.7488,140.5000,66.5000,94.2500,140.5000,186.7500,214.5000
40.4624,90.0000,57.4480,57.4614,57.5148,57.5816,57.7820,58.1160,58.4500,58.6504,58.7172,58.7706,58.7840,58.1160,58.6504,57.5816,1.0688,0.5344,239.0000,239.0000,239.0000,239.0000,239.0000,239.0000
40.4625,90.0000,55.2880,55.3549,55.6224,55.9568,56.9600,58.6320,60.3040,61.3072,61.6416,61.9091,61.9760,58.6320,61.3072,55.9568,5.3504,2.6752,234.0000,230.0000,231.5000,234.0000,236.5000,238.0000
40.4626,90.0000,13.1200,14.0294,17.6672,22.2144,35.8560,58.5920,58.9960,59.2384,59.3192,59.3838,59.4000,58.5920,59.2384,22.2144,37.0240,0.6464,157.3333,49.0000,118.0000,233.0000,234.5000,235.4000
40.4627,90.0000,49.0000,49.3512,50.7560,52.5120,56.5640,59.2000,61.4940,61.9960,62.0340,62.0644,62.0720,59.2000,61.9960,52.5120,9.4840,2.7960,234.8333,231.5000,233.0000,233.0000,236.7500,240.0000
40.4628,90.0000,22.2000,23.1862,27.1312,32.0624,46.8560,52.0560,54.0320,55.5776,56.0928,56.5050,56.6080,52.0560,55.5776,32.0624,23.5152,3.5216,194.8000,96.2000,236.0000,242.0000,245.0000,246.8000
40.4629,90.0000,49.6000,49.7223,50.2116,50.8232,52.6580,55.7160,58.7740,60.6088,61.2204,61.7097,61.8320,55.7160,60.6088,50.8232,9.7856,4.8928,240.5000,234.5000,236.7500,240.5000,244.2500,246.5000
40.4630,90.0000,16.8160,17.7210,21.3412,25.8664,39.4420,47.6640,51.8100,58.0488,60.1284,61.7921,62.2080,47.6640,58.0488,25.8664,32.1824,10.3848,158.3333,49.0000,118.0000,233.0000,236.0000,237.8000
40.4631,90.0000,53.4640,53.5719,54.0036,54.5432,56.1620,58.8600,61.5580,63.1768,63.7164,64.1481,64.2560,58.8600,63.1768,54.5432,8.6336,4.3168,179.5000,168.7000,172.7500,179.5000,186.2500,190.3000
40.4632,90.0000,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,53.1920,0.0000,0.0000,193.0000,193.0000,193.0000,193.0000,193.0000,193.0000
40.4633,90.0000,28.6160,28.8320,29.6960,30.7760,37.1700,51.0280,54.6860,56.1880,56.5220,56.7892,56.8560,51.0280,56.1880,30.7760,25.4120,5.1600,174.0000,90.0000,180.2500,191.5000,227.5000,240.5000
40.4634,90.0000,48.3600,48.5034,49.0768,49.7936,51.9440,52.0400,53.0000,60.3632,62.8176,64.7811,65.2720,52.0400,60.3632,49.7936,10.5696,8.3232,212.8000,160.6000,217.0000,237.0000,242.0000,243.8000
40.4635,90.0000,11.6000,17.4968,41.0840,51.5240,55.3840,58.3680,59.9620,61.1400,61.6560,61.8672,61.9200,58.3680,61.1400,51.5240,9.6160,2.7720,227.5625,234.5000,239.0000,242.0000,245.0000,246.5000
40.4636,90.0000,11.4560,14.1368,24.8600,38.2640,56.8160,60.3680,61.1800,61.7840,61.8440,61.8920,61.9040,60.3680,61.7840,38.2640,23.5200,1.4160,208.7143,141.0000,237.5000,242.0000,246.5000,248.0000
40.4637,90.0000,10.6880,11.1184,12.8402,14.9923,44.8473,55.8480,59.3700,61.0752,61.3776,61.6195,61.6800,55.8480,61.0752,14.9923,46.0829,5.2272,206.7143,138.6000,235.5000,242.0000,243.0000,244.4000
40.4638,90.0000,11.7430,12.3383,14.7193,17.6956,33.1960,51.0640,57.9480,59.3152,60.2176,60.9395,61.1200,51.0640,59.3152,17.6956,41.6196,8.2512,175.8571,3.0000,122.5000,242.0000,245.0000,249.2000
40.4639,90.0000,55.0400,55.0426,55.0532,55.0664,55.1060,55.6240,56.8620,58.1976,58.6428,58.9990,59.0880,55.6240,58.1976,55.0664,3.1312,2.5736,243.5000,242.0000,242.0000,243.5000,245.0000,245.0000
40.4640,90.0000,19.0000,19.7018,22.5088,26.0176,43.4120,58.9200,61.1800,62.4672,63.3696,64.0915,64.2720,58.9200,62.4672,26.0176,36.4496,3.5472,205.5714,124.2000,223.5000,245.0000,246.5000,249.2000
40.4641,90.0000,21.0880,21.5112,23.2040,25.3200,46.0320,60.7360,64.3320,65.5280,67.7840,69.5888,70.0400,60.7360,65.5280,25.3200,40.2080,4.7920,197.4545,3.0000,234.5000,236.0000,243.5000,248.0000
40.4642,90.0000,14.8400,16.7983,24.6316,34.4232,52.3860,61.0800,65.9760,69.3888,69.9544,70.4069,70.5200,61.0800,69.3888,34.4232,34.9656,8.3088,206.1250,128.3000,227.0000,243.5000,245.0000,245.0000
40.4643,90.0000,15.8230,15.9467,16.4414,17.0599,46.4755,60.1600,66.4820,71.1728,71.7104,72.1405,72.2480,60.1600,71.1728,17.0599,54.1129,11.0128,201.6667,119.5000,236.0000,239.0000,244.2500,246.5000
